sampled_for_label,issue_id,issue_number,created_at,title,body_preview,labels,url
Enhancement,1023491984,21308,2021-10-12T08:00:52Z,Implement `get_feature_names_out` for all estimators,This issue tracks the implementation of `get_feature_names_out` for all remaining estimators (follow-up work for #18444).  @thomasjpfan do you maybe have a list we could add here to track them?  Edit: let's do it by modules since the common test is organized this way:  - [x] #22255 cluster - [x] #22...,Enhancement; High Priority,https://github.com/scikit-learn/scikit-learn/issues/21308
Enhancement,9716933,1523,2013-01-06T15:05:16Z,Add decision function to OneVsOneClassifier,"We could easily return the votes here, which are not really continuous but definitely rank the classes.",Easy; Enhancement,https://github.com/scikit-learn/scikit-learn/issues/1523
Enhancement,4104071,769,2012-04-13T14:25:17Z,Iterative solvers for Ridge and warm_start,Iterative solvers for `Ridge` would allow to support the `warm_start` constructor option.  Relevant links:  http://docs.scipy.org/doc/scipy/reference/generated/scipy.sparse.linalg.cg.html#scipy.sparse.linalg.cg  http://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.fmin_cg.html#scipy.op...,Enhancement; module:linear_model,https://github.com/scikit-learn/scikit-learn/issues/769
Enhancement,85252061,4817,2015-06-04T19:56:33Z,allow tied-spherical and tied-diagonal cv in gmm,i would to suggest implementing https://github.com/scikit-learn/scikit-learn/issues/454#issuecomment-3022158 : either make 'tied' a separate flag or add modes 'tied-diagonal' and 'tied-spherical' in the gmm module.,Enhancement; Moderate; help wanted; module:mixture,https://github.com/scikit-learn/scikit-learn/issues/4817
Enhancement,56805079,4211,2015-02-06T12:15:09Z,RBM.partial_fit should use batches,"As pointed out in #4205 by @treora, rbm.partial_fit should use batches (and then fit can be implemented in terms of `partial_fit`).",Enhancement; help wanted; module:neural_network,https://github.com/scikit-learn/scikit-learn/issues/4211
Enhancement,42373590,3652,2014-09-10T03:04:56Z,efficient grid search for random forests,"To get the best performance off Random Forests, it is necessary to tune parameters like `max_depth`, `min_samples_split` and `min_samples_leaf`. If we wrap a RF in GridSearchCV, trees are built from scratch every time. However, for depth first tree induction, deeper trees share the same base as shal...",Enhancement; module:ensemble,https://github.com/scikit-learn/scikit-learn/issues/3652
Enhancement,12773836,1837,2013-04-03T21:03:59Z,Use cross_validation.cross_val_score with metrics.precision_recall_fscore_support,"I'd like to use cross_validation.cross_val_score with metrics.precision_recall_fscore_support so that I can get all relevant cross-validation metrics without having to run my cross-validation once for accuracy, once for precision, once for recall, and once for f1. But when I try this I get a ValueEr...",Enhancement,https://github.com/scikit-learn/scikit-learn/issues/1837
Enhancement,9503356,1490,2012-12-24T16:53:44Z,SVC and LinearSVC have inconsistent decision_function shape,In the binary case. Not sure how that got across test_common.,Enhancement; Moderate,https://github.com/scikit-learn/scikit-learn/issues/1490
Enhancement,1749652443,26552,2023-06-09T10:48:39Z,False positive warning in `FunctionTransformer`,"While looking at #26543, I find out that we raise a `FutureWarning` that looked like a false positive to me:  ```python from sklearn.preprocessing import FunctionTransformer, OneHotEncoder from sklearn.pipeline import make_pipeline import pandas as pd import numpy as np   test_df = pd.DataFrame(    ...",Enhancement,https://github.com/scikit-learn/scikit-learn/issues/26552
Enhancement,492894324,14969,2019-09-12T15:56:41Z,Enhancement for partial dependence plot,"The partial dependence plot function could be improved  - [x] Add support for categorical columns (https://github.com/scikit-learn/scikit-learn/pull/18298) - [x] Once the support for the dataframe is merged (#14028), we should make `feature_names` optional when `X` is a dataframe. (#15429) - [x] Onc...",Enhancement; module:inspection,https://github.com/scikit-learn/scikit-learn/issues/14969
